x,y
0.01,0.04366922378540039
0.01,0.026102066040039062
0.01,0.044233083724975586
0.01,0.030323028564453125
0.02,0.02475118637084961
0.02,0.02360701560974121
0.02,0.01688694953918457
0.02,0.03216242790222168
